,age,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_rate,num_companies_worked,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_with_curr_manager,attrition,rate_avg
598,28,2,890,1,2,4,3,828,3,1,46,3,1,6,3,2,16374,6,0,17,3,4,0,5,3,2,2,2,1,Yes,5770.0
599,36,2,1041,0,13,3,0,829,3,1,36,3,1,1,2,1,25527,4,0,13,3,2,1,8,2,3,5,2,4,No,8868.0
600,32,2,859,1,4,3,1,830,3,0,98,2,2,4,3,1,19124,1,0,12,3,3,1,14,3,3,14,13,8,No,6693.67
601,40,1,720,1,16,4,3,832,1,1,51,2,2,2,3,2,11983,6,0,14,3,4,0,10,6,3,1,0,0,No,4251.33
602,30,2,946,1,2,3,3,833,3,0,52,2,2,4,4,2,20234,5,1,24,4,2,0,12,4,2,0,0,0,No,7077.33
603,45,2,252,1,2,3,1,834,2,0,95,2,1,6,3,2,6153,1,0,14,3,4,0,1,3,3,1,0,0,No,2166.67
604,42,2,933,1,29,3,1,836,2,1,98,3,2,4,2,1,11806,1,0,13,3,4,1,10,3,2,9,8,8,No,4279.0
605,38,1,471,1,12,3,1,837,1,1,45,2,2,0,1,0,4284,2,0,15,3,3,1,13,3,2,4,3,2,No,1600.0
606,34,1,702,1,16,4,1,838,3,0,100,2,1,6,4,2,8306,1,0,16,3,3,0,6,3,3,5,2,3,No,3036.0
607,49,2,1184,2,11,3,2,840,3,0,43,3,3,7,4,1,5860,1,0,18,3,1,2,9,3,4,9,8,7,Yes,2362.33
608,55,2,436,2,2,1,3,842,3,1,37,3,2,7,4,2,21519,4,0,16,3,3,0,12,3,2,9,7,3,Yes,7330.67
609,43,2,589,1,14,2,1,843,2,1,94,3,4,5,1,1,5200,6,0,24,4,3,1,22,3,3,4,1,0,No,1961.0
610,27,2,269,1,5,1,5,844,3,1,42,2,3,5,4,0,8842,1,1,16,3,2,1,9,3,3,9,8,8,No,3051.0
611,35,2,950,1,7,3,4,845,3,1,59,3,3,4,3,2,18869,3,0,21,4,2,0,17,3,4,8,5,6,No,6626.0
612,28,2,760,2,2,4,2,846,2,0,81,3,2,7,2,1,3698,1,1,20,4,1,0,8,2,3,8,7,5,No,1513.0
613,34,2,829,0,3,2,0,847,3,1,88,3,1,1,4,1,2243,0,0,19,3,3,1,4,1,1,3,2,2,No,1053.33
614,26,1,887,1,5,2,3,848,3,0,88,2,1,6,3,1,20898,1,1,14,3,1,1,8,2,3,8,7,7,Yes,7291.0
615,27,0,443,1,3,3,3,850,4,1,50,3,1,6,4,1,16571,1,0,11,3,3,3,0,6,2,0,0,0,No,5688.0
616,51,2,1318,2,26,4,2,851,1,0,66,3,4,3,3,1,5594,2,0,14,3,3,1,29,2,2,20,6,17,No,2326.0
617,44,2,625,1,4,3,3,852,4,1,50,3,2,0,2,2,5197,9,0,12,3,4,0,10,2,2,5,2,3,No,1957.33
618,25,2,180,1,2,1,3,854,1,1,65,4,1,6,1,2,21632,7,0,13,3,3,0,6,3,2,4,3,1,No,7292.33
619,33,2,586,2,1,3,3,855,1,1,48,4,2,7,1,0,21816,1,0,22,4,1,1,9,5,3,9,8,8,No,7483.33
620,35,2,1343,1,27,1,3,856,3,0,53,2,1,6,1,2,17852,1,0,11,3,4,0,6,3,2,6,5,1,No,6416.0
621,36,2,928,2,1,2,1,857,2,1,56,3,2,7,4,1,2823,1,1,14,3,4,1,18,1,2,18,14,11,No,1269.0
622,32,2,117,2,13,4,1,859,2,1,73,3,2,7,4,0,9250,2,0,11,3,3,1,8,3,2,5,2,3,No,3146.67
623,30,1,1012,1,5,4,1,861,2,1,75,2,1,6,4,0,2373,9,0,12,3,2,1,10,3,2,5,4,3,No,1153.33
624,53,2,661,2,7,2,2,862,1,0,78,2,3,7,4,1,20715,7,1,18,3,4,1,35,3,3,5,2,4,No,7151.33
625,45,2,930,2,9,3,2,864,4,1,74,3,3,7,1,0,19239,4,1,12,3,3,1,18,2,3,5,4,2,No,6747.67
626,32,2,638,1,8,2,3,865,3,0,91,4,2,6,3,1,22162,5,0,12,3,3,1,9,3,2,5,3,3,No,7630.33
627,52,1,890,1,25,4,3,867,3,0,81,2,4,4,4,1,19028,3,0,22,4,3,0,31,3,3,9,8,0,No,6666.33
628,37,2,342,2,16,4,2,868,4,1,66,2,2,7,3,0,24558,4,0,19,3,4,2,9,2,3,1,0,0,No,8322.0
629,28,2,1169,0,8,2,3,869,2,1,63,2,1,1,4,0,23965,1,0,13,3,4,1,6,6,3,5,1,4,No,8399.0
630,22,2,1230,1,1,2,1,872,4,1,33,2,2,4,4,1,19146,6,0,22,4,1,2,4,2,1,2,2,2,No,6803.0
631,44,2,986,1,8,4,1,874,1,1,62,4,1,2,4,1,5044,2,1,24,4,3,1,10,2,2,3,2,2,No,2030.67
632,42,1,1271,1,2,1,3,875,2,1,35,3,1,6,4,2,9068,5,1,14,3,4,0,8,2,3,2,1,2,No,3458.0
633,36,2,1278,0,8,3,1,878,1,1,77,2,1,1,1,1,8635,0,0,21,4,3,0,6,3,3,5,4,3,No,3330.0
634,25,2,141,2,3,1,4,879,3,1,98,3,2,7,1,1,14363,1,1,18,3,4,0,5,3,3,5,3,3,No,4867.33
635,35,2,607,1,9,3,1,880,4,0,66,2,3,4,3,1,23457,1,1,20,4,2,1,17,2,3,17,14,15,No,8043.33
636,35,1,130,1,25,4,1,881,4,0,96,3,1,6,2,0,16612,1,1,19,3,1,1,10,3,2,10,2,8,Yes,5612.67
637,32,0,300,1,1,3,1,882,4,1,61,3,1,2,4,0,9148,0,0,12,3,2,1,4,2,3,3,0,2,No,3169.67
638,25,2,583,2,4,1,2,885,3,1,87,2,2,7,1,1,18154,1,0,12,3,1,0,5,1,4,5,2,3,No,6274.67
639,49,2,1418,1,1,3,5,887,3,0,36,3,1,6,1,1,10554,2,0,16,3,2,1,7,2,3,4,2,2,No,4002.67
640,24,0,1269,1,4,1,1,888,1,1,46,2,1,2,4,1,10778,0,0,17,3,4,0,6,2,2,5,2,4,No,4031.0
641,32,1,379,2,5,2,1,889,2,1,48,3,2,7,2,1,8891,1,0,14,3,4,1,10,3,3,10,8,3,No,3106.0
642,38,2,395,2,9,3,2,893,2,1,98,2,1,8,2,1,12102,0,0,19,3,4,1,3,3,3,2,2,2,No,4198.33
643,42,2,1265,1,3,3,1,894,3,0,95,4,2,2,4,1,23726,2,1,13,3,2,1,17,1,2,5,3,3,No,8362.0
644,31,2,1222,1,11,4,1,895,4,1,48,3,1,6,4,1,14871,3,1,19,3,2,1,8,2,3,6,4,2,No,5380.33
645,29,2,341,2,1,3,3,896,2,0,48,2,1,8,3,0,23522,6,1,19,3,3,3,5,3,3,3,2,2,Yes,7970.33
646,53,2,868,2,8,3,2,897,1,1,73,3,4,7,4,1,22789,5,0,14,3,3,1,28,3,3,2,0,2,No,7910.0
647,35,2,672,1,25,3,5,899,4,1,78,2,3,4,2,1,9129,3,0,16,3,1,0,16,2,3,13,10,8,No,3293.0
648,37,1,1231,2,21,2,3,900,3,0,54,3,1,8,4,1,21222,5,0,15,3,2,1,10,3,3,5,4,0,No,7502.33
649,53,2,102,1,23,4,1,901,4,0,72,3,4,5,4,2,20206,6,0,18,3,3,0,33,0,3,12,9,8,No,6793.33
650,43,1,422,1,1,3,1,902,4,0,33,3,2,0,4,1,21782,4,0,13,3,2,1,12,2,2,5,2,2,No,7412.33
651,47,2,249,2,2,2,2,903,3,0,35,3,2,7,4,1,17783,0,1,22,4,1,1,8,2,3,7,6,7,No,6022.33
652,37,0,1252,2,19,2,3,904,1,1,32,3,3,7,2,2,4814,1,1,13,3,4,0,10,2,3,10,0,9,No,2032.67
653,50,0,881,1,2,4,1,905,1,1,98,3,4,3,1,0,4544,1,0,11,3,4,1,31,3,3,31,6,7,No,1841.0
654,39,2,1383,0,2,3,1,909,4,0,42,2,2,1,4,1,7790,8,0,11,3,3,2,13,2,3,5,4,4,No,3071.67
655,33,2,1075,0,3,2,0,910,4,1,57,3,1,1,2,0,22650,3,1,11,3,3,1,7,4,4,4,3,3,No,7927.33
656,32,2,374,1,25,4,1,911,1,1,87,3,1,2,4,2,18016,1,1,24,4,3,0,1,2,1,1,0,1,Yes,6159.0
657,29,2,1086,1,7,1,3,912,1,0,62,2,1,2,4,0,6054,6,0,14,3,3,3,8,5,3,4,3,3,No,2400.67
658,44,2,661,1,9,2,1,913,2,1,61,3,1,6,1,1,7508,1,1,13,3,4,0,8,0,3,8,7,1,No,2743.33
659,28,2,821,2,5,4,3,916,1,1,98,3,2,7,4,2,24252,1,0,14,3,2,0,4,3,3,4,2,2,No,8390.33
660,58,1,781,1,2,1,1,918,4,1,57,2,1,2,4,0,13384,9,1,14,3,4,1,3,3,2,1,0,0,Yes,4740.67
661,43,2,177,1,8,3,1,920,1,0,55,3,2,4,2,0,23814,4,0,21,4,3,1,4,2,4,1,0,0,No,8015.33
662,20,2,500,2,2,3,3,922,3,0,49,2,1,8,3,2,22052,1,0,13,3,4,0,2,3,2,2,2,2,Yes,7533.67
663,21,2,1427,1,18,1,4,923,4,0,65,3,1,6,4,2,8870,1,0,19,3,1,0,1,3,2,1,0,0,Yes,3454.0
664,36,2,1425,1,14,1,1,924,3,1,68,3,2,0,4,1,4821,0,1,17,3,1,1,17,2,2,16,8,11,No,2104.67
665,47,2,1454,2,2,4,1,925,4,0,65,2,1,8,4,2,13137,1,1,18,3,1,0,3,3,2,3,2,2,No,4885.33
666,22,2,617,1,3,1,1,926,2,0,34,3,2,4,3,1,10022,0,1,19,3,1,1,4,3,4,3,2,2,Yes,3557.67
667,41,2,1085,1,2,4,1,927,2,0,57,1,1,2,4,0,17725,4,1,13,3,3,1,10,1,2,7,7,0,Yes,6289.0
668,28,2,995,1,9,3,3,930,3,0,77,3,1,6,3,0,9834,5,0,18,3,2,1,6,2,3,2,2,2,No,3635.33
669,39,2,1122,1,6,3,3,932,4,1,70,3,1,2,1,1,4303,7,1,21,4,4,0,8,2,1,2,2,2,Yes,1831.67
670,27,2,618,1,4,3,1,933,2,0,76,3,1,6,3,2,17808,1,0,19,3,3,0,1,2,3,1,1,0,No,6167.33
671,34,2,546,1,10,3,1,934,2,1,83,3,1,2,2,0,6896,1,0,14,3,2,2,1,3,3,1,0,0,No,2508.33
672,42,2,462,2,14,2,3,936,3,0,68,2,2,7,3,2,7824,7,0,17,3,1,0,10,6,3,5,4,3,No,2784.67
673,33,2,1198,1,1,4,4,939,3,1,100,2,1,6,1,2,3339,3,1,11,3,2,0,6,1,3,3,2,2,No,1545.67
674,58,2,1272,1,5,3,5,940,3,0,37,2,3,0,2,0,9255,2,1,13,3,4,1,24,3,3,6,0,4,No,3521.33
675,31,2,154,2,7,4,1,941,2,1,41,2,1,8,3,1,11737,3,0,15,3,2,0,13,2,4,7,7,2,No,3977.33
676,35,2,1137,1,21,1,1,942,4,0,51,3,2,0,4,1,19170,1,1,25,4,4,1,10,2,1,10,6,7,No,6786.0
677,49,2,527,1,8,2,4,944,1,0,51,3,3,2,2,1,22477,4,0,11,3,3,1,29,3,2,26,9,7,No,7685.0
678,48,2,1469,1,20,4,3,945,4,1,51,3,1,6,3,1,5543,4,0,17,3,1,2,13,2,2,0,0,0,No,2354.33
679,31,0,1188,2,20,2,2,947,4,0,45,3,2,7,3,1,24406,1,0,13,3,4,1,9,2,2,9,8,0,No,8546.33
680,36,2,188,1,7,4,4,949,2,1,65,3,1,6,4,2,23293,2,0,18,3,3,0,8,6,3,6,2,1,No,7848.67
681,38,2,1333,1,1,3,5,950,4,0,80,3,3,5,1,1,16292,1,0,13,3,2,1,15,3,3,15,12,11,No,5901.67
682,32,0,1184,1,1,3,1,951,3,0,70,2,1,2,2,1,3974,6,0,20,4,3,0,5,3,3,3,0,2,No,1742.67
683,25,2,867,2,19,2,2,952,3,1,36,2,1,8,2,1,18798,1,1,18,3,3,3,1,2,3,1,0,0,Yes,6567.0
684,40,2,658,2,10,4,2,954,1,1,67,2,3,7,2,0,20652,2,0,12,3,2,1,11,2,2,1,0,0,No,7125.67
685,26,1,1283,2,1,3,3,956,3,1,52,2,2,7,1,2,11148,1,0,12,3,2,0,7,2,3,7,7,7,No,4161.0
686,41,2,263,1,6,3,3,957,4,1,59,3,1,2,1,2,3119,2,1,13,3,3,0,20,3,3,18,13,17,No,1147.0
687,36,2,938,1,2,4,3,958,3,1,79,3,1,2,3,2,12287,4,0,21,4,3,0,16,6,3,11,8,9,No,4434.67
688,19,2,419,2,21,3,4,959,4,1,37,2,1,8,2,2,9947,1,1,13,3,2,0,1,3,4,1,0,0,Yes,3467.67
689,20,2,129,1,4,3,5,960,1,1,84,3,1,2,1,2,13008,1,0,19,3,2,0,1,2,3,1,0,0,Yes,4407.0
690,31,2,616,1,12,3,3,961,4,0,41,3,2,0,4,1,17369,0,1,11,3,3,2,10,2,1,9,7,5,No,6008.67
691,40,1,1469,1,9,4,3,964,4,1,35,3,1,6,2,0,25063,8,1,14,3,4,1,3,2,3,1,1,0,No,8855.67
692,32,2,498,1,3,4,3,966,3,0,93,3,2,4,1,1,13554,1,0,12,3,3,1,8,2,4,8,7,3,No,4715.0
693,36,2,530,2,3,1,1,967,3,1,51,2,3,7,4,1,5518,1,1,11,3,1,1,16,6,3,16,7,7,Yes,2033.0
694,33,2,1069,1,1,3,1,969,2,0,42,2,2,0,4,2,12291,0,0,14,3,1,0,6,3,3,5,0,4,No,4467.33
695,37,2,625,2,1,4,1,970,1,1,46,2,3,7,3,1,14922,5,0,11,3,3,0,17,2,1,14,1,7,Yes,5197.67
696,45,0,805,1,4,2,1,972,3,1,57,3,2,2,2,1,23163,1,0,12,3,2,0,9,5,2,9,7,8,No,8008.33
697,29,1,1404,2,20,3,5,974,3,0,84,3,1,8,4,1,18203,1,0,15,3,2,1,3,5,3,3,1,2,No,6563.67
698,35,2,1219,2,18,3,3,975,3,0,86,3,2,7,3,1,6179,1,0,16,3,2,0,5,3,3,5,2,0,No,2494.67
699,52,2,1053,1,1,2,1,976,4,1,70,3,4,3,4,1,13829,2,0,15,3,2,1,26,2,2,9,8,8,No,4984.0
700,58,2,289,1,2,3,5,977,4,1,51,3,1,6,3,2,26227,4,0,24,4,1,0,7,4,3,1,0,0,Yes,8855.67
701,53,2,1376,2,2,2,3,981,3,1,45,3,4,3,3,0,13938,6,0,13,3,3,1,22,3,4,17,13,2,No,5119.67
702,30,2,231,2,8,2,4,982,3,1,62,3,3,7,3,0,9977,5,0,11,3,1,1,10,2,4,8,4,7,No,3423.33
703,38,0,152,2,10,3,5,983,3,0,85,3,2,7,4,2,19899,1,1,13,3,2,0,6,1,3,5,3,3,No,6712.0
704,35,2,882,2,3,4,1,984,4,1,92,3,3,7,4,0,6812,6,0,13,3,2,1,12,2,3,10,9,8,No,2595.33
705,39,2,903,2,2,5,1,985,1,1,41,4,3,7,3,2,2560,0,0,18,3,4,0,9,3,3,8,7,7,No,1168.0
706,40,0,1479,2,24,3,1,986,2,0,100,4,4,7,2,2,17071,4,1,16,3,4,0,22,2,2,1,0,0,Yes,6216.67
707,47,1,1379,1,16,4,3,987,3,1,64,4,2,4,3,0,6759,1,1,19,3,3,0,20,3,4,19,10,7,No,2734.0
708,36,0,1229,2,8,4,5,990,1,1,84,3,2,7,4,0,25952,4,0,13,3,4,2,12,3,3,7,7,7,No,9088.33
709,31,0,335,1,9,2,3,991,3,1,46,2,1,6,1,2,10322,0,1,22,4,1,0,4,0,3,3,2,2,Yes,3567.67
710,33,0,722,2,17,3,1,992,4,1,38,3,4,3,3,2,20489,1,0,11,3,4,0,10,2,3,10,8,0,No,7083.0
711,29,2,906,1,10,3,1,994,4,0,92,2,1,6,1,2,11479,6,1,20,4,3,0,3,5,3,0,0,0,Yes,4159.0
712,33,2,461,1,13,1,1,995,2,0,53,3,1,6,4,2,17241,3,0,18,3,1,0,5,4,3,3,2,2,No,5918.33
713,45,2,974,1,1,4,3,996,4,0,91,3,1,2,4,0,11005,3,0,14,3,4,2,8,2,3,5,3,2,No,4023.33
714,50,2,1126,1,1,2,3,997,4,1,66,3,4,5,4,0,6615,9,0,22,4,3,1,32,1,2,5,4,3,No,2602.33
715,33,1,827,1,1,4,4,998,3,0,84,4,2,0,2,1,20161,1,1,13,3,1,1,6,2,3,6,5,2,No,7024.0
716,41,1,840,1,9,3,3,999,1,1,64,3,5,5,3,0,3735,2,0,17,3,2,1,21,2,4,18,16,11,No,1546.33
717,27,2,1134,1,16,4,5,1001,3,0,37,3,1,2,2,1,12086,9,0,14,3,2,1,4,2,3,2,2,2,No,4419.0
718,45,0,248,1,23,2,1,1002,4,1,42,3,2,2,1,1,14039,1,1,15,3,3,1,9,2,3,9,8,8,No,4776.33
719,47,2,955,2,4,2,1,1003,4,0,83,3,2,7,4,2,8571,1,1,17,3,3,0,9,0,3,9,0,7,No,3203.0
720,30,2,138,1,22,3,1,1004,1,0,48,3,1,6,3,1,11539,4,1,11,3,2,0,7,2,3,5,2,1,Yes,3908.33
721,50,2,939,1,24,3,1,1005,4,1,95,3,4,4,3,1,4161,3,1,18,3,4,1,22,2,3,12,11,5,No,1731.67
722,38,1,1391,1,10,1,3,1006,3,1,66,3,1,6,3,1,12127,0,0,17,3,2,1,3,0,2,2,1,2,No,4528.0
723,46,2,566,1,7,2,3,1007,4,1,75,3,3,4,3,0,24208,6,0,13,3,2,1,13,3,3,8,7,7,No,8283.0
724,24,2,1206,1,17,1,3,1009,4,0,41,2,2,4,3,0,24117,1,0,15,3,2,2,5,6,3,4,2,2,No,8454.67
725,35,2,622,1,14,4,4,1010,3,1,39,2,1,2,2,0,10074,1,1,24,4,4,1,5,2,1,4,2,2,Yes,3578.33
726,31,1,853,1,1,1,1,1011,3,0,96,3,2,4,1,1,11275,1,0,12,3,3,1,4,1,3,4,3,3,No,4074.67
727,18,0,287,1,5,2,1,1012,2,1,73,3,1,6,4,2,13493,1,0,15,3,4,0,0,2,3,0,0,0,No,4617.67
728,54,2,1441,1,17,3,5,1013,3,0,56,3,3,4,3,1,13943,8,0,11,3,3,1,22,2,3,10,7,8,No,5146.67
729,35,2,583,1,25,4,3,1014,3,0,57,3,3,0,3,0,6975,1,1,11,3,3,1,16,3,2,16,10,1,No,2538.33
730,30,2,153,1,8,2,1,1015,2,0,73,4,3,5,1,1,17802,0,1,12,3,3,3,9,4,2,8,7,7,No,6009.33
731,20,2,1097,1,11,3,3,1016,4,0,98,2,1,6,1,2,18275,1,1,15,3,1,0,1,2,3,1,0,0,Yes,6490.0
732,30,1,109,1,5,3,3,1017,2,0,60,3,1,2,2,2,25725,0,0,17,3,1,0,4,3,3,3,2,2,Yes,8631.33
733,26,2,1066,1,2,2,3,1018,4,1,32,4,2,4,4,1,3334,1,0,12,3,2,0,8,2,3,8,7,3,No,1477.33
734,22,2,217,1,8,1,1,1019,2,1,94,1,1,2,1,1,6881,1,0,15,3,1,1,4,3,2,4,3,1,No,2397.33
735,48,2,277,1,6,3,1,1022,1,1,97,2,2,0,3,2,13119,2,0,13,3,4,0,19,0,3,2,2,2,No,4497.67
736,48,2,1355,1,4,4,1,1024,3,1,78,2,3,0,3,2,22245,7,0,14,3,2,0,27,3,3,15,11,8,No,7892.67
737,41,2,549,1,7,2,3,1025,4,0,42,3,2,4,3,2,23371,6,0,14,3,2,0,8,6,3,2,2,1,No,7987.33
738,39,2,466,1,1,1,1,1026,4,0,65,2,4,4,4,1,7060,1,0,16,3,3,1,21,3,3,21,6,8,No,2530.33
739,27,2,1055,1,2,4,1,1027,1,0,47,3,2,4,4,1,4658,0,0,18,3,2,1,4,2,3,3,2,2,No,1920.0
740,35,2,802,1,10,3,4,1028,2,1,45,3,1,2,4,0,9541,1,0,20,4,1,1,3,4,2,3,2,2,No,3462.67
741,42,2,265,2,5,2,2,1029,4,1,90,3,5,3,3,1,7770,6,0,13,3,2,0,21,3,4,1,0,0,No,2708.33
742,50,2,804,1,9,3,1,1030,1,1,64,3,1,2,4,1,20165,4,0,18,3,2,0,8,5,3,1,0,0,No,7011.0
743,59,2,715,1,2,3,1,1032,3,0,69,2,4,4,4,2,21829,3,1,13,3,1,0,30,4,3,5,3,3,No,7537.67
744,37,2,1141,1,11,2,3,1033,1,0,61,1,2,0,2,1,14382,5,0,15,3,1,0,15,2,1,1,0,0,Yes,5194.67
745,55,1,135,1,18,4,3,1034,3,1,62,3,2,0,2,1,12992,3,1,14,3,4,2,17,3,3,8,7,7,No,4396.33
746,41,0,247,1,7,1,1,1035,2,0,55,1,5,5,3,0,20284,1,0,22,4,2,2,21,3,3,21,16,10,No,6862.0
747,38,2,1035,2,3,4,1,1036,2,1,42,3,2,7,4,2,4981,8,1,12,3,3,0,19,1,3,1,0,0,No,2019.33
748,26,0,265,2,29,2,3,1037,2,1,79,1,2,7,1,2,21813,8,0,18,3,4,0,7,6,3,2,2,2,Yes,7385.67
749,52,2,266,2,2,1,2,1038,1,0,57,1,5,3,4,1,25846,1,0,15,3,4,1,33,3,3,32,14,9,Yes,8723.0
750,44,2,1448,2,28,3,3,1039,4,0,53,4,4,7,4,1,11737,3,1,18,3,3,1,23,2,3,12,11,11,No,4412.67
751,50,0,145,2,1,3,1,1040,4,0,95,3,2,7,3,1,24920,0,0,12,3,1,1,19,3,3,18,7,13,No,8386.67
752,36,2,885,1,16,4,1,1042,3,0,43,4,1,2,1,2,8269,1,0,16,3,3,0,18,1,3,17,13,14,Yes,3065.67
753,39,1,945,1,22,3,3,1043,4,0,82,3,3,4,1,2,5083,1,1,13,3,3,0,21,2,3,21,6,8,No,2036.67
754,33,0,1038,2,8,1,1,1044,2,0,88,2,1,8,4,2,21437,0,0,19,3,4,0,3,2,2,2,2,2,No,7521.0
755,45,2,1234,2,11,2,1,1045,4,0,90,3,4,3,4,1,5404,3,0,13,3,2,1,26,4,4,9,3,1,No,2242.67
756,32,0,1109,1,29,4,3,1046,4,0,69,3,1,2,3,2,11135,9,0,12,3,2,0,10,2,3,8,7,7,No,4104.33
757,34,2,216,2,1,4,2,1047,2,1,75,4,2,7,4,0,12278,0,0,11,3,4,1,16,2,2,15,1,9,No,4189.67
758,59,2,1089,2,1,2,5,1048,2,1,66,3,3,3,4,1,11038,3,1,14,3,3,1,14,1,1,6,4,4,No,4064.33
759,45,2,788,0,24,4,3,1049,2,1,36,3,1,1,2,2,8318,1,0,16,3,1,0,6,3,3,6,3,4,No,3047.33
760,53,1,124,2,2,3,2,1050,3,0,38,2,3,7,2,1,23537,2,0,12,3,1,1,30,2,3,15,7,12,No,7899.67
761,36,2,660,1,15,3,4,1052,1,1,81,3,2,2,3,0,7858,7,0,14,3,2,1,9,3,2,1,0,0,Yes,2866.33
762,26,1,342,1,2,3,1,1053,1,1,57,3,1,6,1,1,15346,6,1,14,3,2,1,6,2,3,3,2,2,Yes,5248.33
763,34,2,1333,2,10,4,1,1055,3,0,87,3,1,8,3,1,18410,1,1,19,3,4,1,1,2,3,1,1,0,No,6610.0
764,28,2,1144,2,10,1,3,1056,4,1,74,3,1,8,2,1,23384,1,0,22,4,2,0,1,5,3,1,0,0,No,8200.67
765,38,1,1186,1,3,4,4,1060,3,1,44,3,1,6,3,1,2997,3,0,16,3,1,1,8,2,3,2,2,2,No,1409.0
766,50,2,1464,1,2,4,3,1061,2,1,62,3,5,5,3,1,12853,2,1,11,3,4,1,29,2,2,8,1,7,No,4793.0
767,37,2,124,1,3,3,4,1062,4,0,35,3,2,0,2,2,13848,3,0,15,3,1,0,8,3,2,4,3,1,No,4669.0
768,40,2,300,2,26,3,2,1066,3,1,74,3,2,7,1,1,22217,1,0,14,3,2,1,8,3,2,7,7,5,No,7530.33
769,26,1,921,1,1,1,3,1068,1,0,66,2,1,6,3,0,25265,1,0,13,3,3,2,5,5,3,5,3,3,No,8750.67
770,46,2,430,1,1,4,3,1069,4,1,40,3,5,5,4,0,21445,9,0,17,3,4,2,23,0,3,2,2,2,No,7305.0
771,54,2,1082,2,2,4,1,1070,3,0,41,2,3,7,3,1,8392,6,0,11,3,2,1,13,4,3,9,4,0,No,3171.67
772,56,1,1240,1,9,3,3,1071,1,0,63,3,1,6,3,1,12154,2,0,19,3,2,1,18,4,3,5,4,3,No,4485.67
773,36,2,796,1,12,5,3,1073,4,0,51,2,3,4,4,2,15669,0,0,11,3,2,0,15,2,2,14,8,8,No,5505.33
774,55,0,444,1,2,1,3,1074,3,1,40,2,4,3,1,2,17323,7,0,15,3,2,0,31,3,4,9,7,2,No,5935.67
775,43,2,415,2,25,3,3,1076,3,1,79,2,3,7,4,0,5268,5,0,13,3,3,1,18,5,3,1,0,0,No,1920.67
776,20,1,769,2,9,3,2,1077,4,0,54,3,1,8,4,2,17205,1,1,14,3,2,0,2,3,3,2,2,2,Yes,6009.33
777,21,2,1334,1,10,3,1,1079,3,0,36,2,1,2,1,2,17258,1,0,13,3,1,0,1,6,2,1,0,0,Yes,6209.33
778,46,2,1003,1,8,4,1,1080,4,0,74,2,2,6,1,0,21029,8,1,23,4,1,3,19,2,3,16,13,7,No,7368.67
779,51,2,1323,1,4,4,1,1081,1,1,34,3,1,6,3,1,10332,9,1,12,3,3,3,18,2,4,10,0,7,Yes,3896.33
780,28,0,1366,1,24,2,5,1082,2,1,72,2,3,0,1,2,12355,1,0,12,3,1,0,10,2,2,10,7,9,Yes,4597.67
781,26,2,192,1,1,2,3,1083,1,1,59,2,1,2,1,1,11141,1,0,16,3,1,2,6,2,3,5,3,3,No,3797.33
782,30,2,1176,1,20,3,4,1084,3,1,85,3,2,4,1,1,9096,0,0,15,3,3,1,7,1,2,6,2,2,No,3452.33
783,41,2,509,1,7,2,5,1085,2,0,43,4,1,6,3,1,18863,1,0,13,3,3,0,10,3,3,10,6,8,No,6471.67
784,38,2,330,1,17,1,1,1088,3,0,65,2,3,0,3,1,24608,0,0,18,3,1,1,20,4,2,19,9,9,No,8334.33
785,40,2,1492,1,20,4,5,1092,1,1,61,3,3,0,4,1,26542,4,0,20,4,4,1,14,6,3,11,10,1,No,9365.0
786,27,0,1277,1,8,5,1,1094,1,1,87,1,1,2,3,1,5869,1,0,19,3,4,3,3,4,3,3,2,2,No,2411.0
787,55,1,1091,1,2,1,1,1096,4,1,65,3,3,4,2,1,15813,3,0,18,3,2,1,23,4,3,3,2,2,No,5656.33
788,28,2,857,1,10,3,4,1097,3,0,59,3,2,6,3,2,7909,3,0,13,3,4,0,10,4,4,8,7,7,No,2941.67
789,44,2,1376,0,1,2,3,1098,2,1,91,2,3,1,1,1,2326,9,0,14,3,4,1,24,1,3,20,6,6,Yes,1264.33
790,33,2,654,1,5,3,1,1099,4,1,34,2,3,0,4,0,21214,4,0,15,3,3,1,9,2,3,3,2,2,No,7300.67
791,35,2,1204,2,4,3,5,1100,4,1,86,3,3,7,1,2,10333,0,1,22,4,1,0,9,2,3,8,7,7,Yes,3874.33
792,33,1,827,1,29,4,3,1101,1,0,54,2,2,6,3,2,3129,1,0,22,4,2,0,14,4,3,13,7,8,Yes,1336.67
793,28,2,895,1,15,2,1,1102,1,1,50,3,1,2,3,0,22482,1,0,16,3,4,1,4,5,2,4,2,2,No,7809.0
794,34,1,618,1,3,1,1,1103,1,1,45,3,2,0,4,2,22266,0,0,17,3,3,0,7,1,2,6,2,4,No,7643.0
795,37,2,309,2,10,4,1,1105,4,0,88,2,2,7,4,0,24223,2,1,14,3,3,3,8,5,3,1,0,0,No,8206.67
796,25,2,1219,1,4,1,5,1106,4,1,32,3,1,2,4,1,4605,1,1,15,3,2,1,7,3,4,7,7,6,Yes,1952.0
